group,n_random,n_bts,clicks_random,clicks_bts,population_weight_raw,v_random,v_bts,v0_ref,v1_ref,delta_ref,ref_se,ref_ci_lower,ref_ci_upper,ref_ci_width,reference_status,reference_interval_method,population_weight,campaign,direction,metrics_version,runner_revision
10,133641,1204885,450,6357,1338526,0.003367230116506162,0.005276022192989373,0.003367230116506162,0.005276022192989373,0.0019087920764832107,0.00017165955108731546,0.001559400564062625,0.002233041256044412,0.0006736406919817871,beneficial,newcombe_wilson_difference,0.09747830667339473,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
11,133669,1204806,444,6021,1338475,0.0033216377768966626,0.0049974850722854965,0.0033216377768966626,0.0049974850722854965,0.001675847295388834,0.00016998356192416962,0.0013296920326773976,0.001996766652682529,0.0006670746200051316,beneficial,newcombe_wilson_difference,0.09747459259265193,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
12,2239,20025,5,103,22264,0.0022331397945511387,0.005143570536828964,0.0022331397945511387,0.005143570536828964,0.0029104307422778255,0.001118343267543212,-0.0002064508581709392,0.004590903033218535,0.004797353891389474,ambiguous,newcombe_wilson_difference,0.0016213783070156728,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
13,2240,20033,0,107,22273,0.0,0.00534118704138172,0.0,0.00534118704138172,0.00534118704138172,0.0005149712280943689,0.003398196694456031,0.006449697230804713,0.003051500536348682,beneficial,newcombe_wilson_difference,0.001622033733029109,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
14,2229,19949,7,123,22178,0.0031404217137729925,0.006165722592611158,0.0031404217137729925,0.006165722592611158,0.0030253008788381657,0.001308295354408452,-0.00044832360706525834,0.005031358932098251,0.005479682539163509,ambiguous,newcombe_wilson_difference,0.001615115347331728,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
-1,1374327,12357200,4768,61208,13731527,0.0034693344451502445,0.004953225649823585,0.0034693344451502445,0.004953225649823585,0.0014838912046733405,5.3985940115521806e-05,0.0013768371029776688,0.0015884803388040891,0.00021164323582642031,beneficial,newcombe_wilson_difference,1.0,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
0,177228,1589804,668,8365,1767032,0.0037691561152865235,0.005261654895823636,0.005261654895823636,0.0037691561152865235,-0.0014924987805371125,0.0001564586952176386,-0.001789814096561677,-0.0011760480039279824,0.0006137660926336947,harmful,newcombe_wilson_difference,0.12868430437488854,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
1,177313,1590331,671,7734,1767644,0.003784268496951718,0.0048631385541752,0.0048631385541752,0.003784268496951718,-0.001078870057223482,0.00015589936495864548,-0.0013750239742016954,-0.0007634535331705554,0.00061157044103114,harmful,newcombe_wilson_difference,0.12872887334380217,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
2,177290,1590008,645,7883,1767298,0.0036381070562355464,0.0049578366901298606,0.0049578366901298606,0.0036381070562355464,-0.0013197296338943142,0.00015345572931572455,-0.0016111439820819713,-0.0010091414495577724,0.0006020025325241989,harmful,newcombe_wilson_difference,0.1287036758548412,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
3,104093,935008,348,4367,1039101,0.0033431642857829056,0.0046705482733837575,0.0046705482733837575,0.0033431642857829056,-0.001327383987600852,0.00019230596296396048,-0.0016885350493464242,-0.0009336234443541626,0.0007549116049922616,harmful,newcombe_wilson_difference,0.07567264733193912,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
