campaign,direction,n_label,method,deployment_coverage,clear_harmful_exposure,ambiguous_deployment_exposure,clear_beneficial_deployment_exposure,sign_agreement,hybrid_value,reference_clear_policy_value,hybrid_minus_reference_clear_policy,reference_sign_selective_value,hybrid_minus_reference_sign_selective,clear_reference_weight,ambiguous_reference_weight,runner_revision
all,bts_to_random,full,bb_dr,0.0,0.0,0.0,0.0,1.0,0.004953235110226753,0.004953235110226753,0.0,0.004953235110226753,0.0,0.9967635063456526,0.003236493654347401,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,full,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.004953235110226753,0.004953235110226753,0.0,0.004953235110226753,0.0,0.9967635063456526,0.003236493654347401,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,10000,bb_dr,0.12648308523880847,0.0,0.0012945974617389604,0.12518848777706953,0.1653846153846154,0.0036755341286349398,0.0049436299910774455,-0.0012680958624425053,0.004953235110226753,-0.0012777009815918131,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,10000,bootstrap_dr,0.015067552210325916,0.0,0.0007283676462202639,0.014339184564105652,0.03461538461538462,0.003492594417079091,0.0049436299910774455,-0.0014510355739983543,0.004953235110226753,-0.0014606406931476621,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,100000,bb_dr,0.18064233861245,0.0,0.00040534457675391814,0.1802369940356961,0.18846153846153849,0.0037469698232661377,0.0049436299910774455,-0.0011966601678113078,0.004953235110226753,-0.0012062652869606156,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,100000,bootstrap_dr,0.11982918214412716,0.0,0.0,0.11982918214412716,0.11538461538461539,0.0036512382164513315,0.0049436299910774455,-0.0012923917746261138,0.004953235110226753,-0.0013019968937754217,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,250000,bb_dr,0.274325146067149,0.0,0.0008106891535078363,0.2735144569136411,0.2846153846153846,0.0038884143692273637,0.0049436299910774455,-0.001055215621850082,0.004953235110226753,-0.0010648207409993898,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,250000,bootstrap_dr,0.20722994245286777,0.0,0.0,0.20722994245286777,0.19230769230769232,0.0037851840856019574,0.0049436299910774455,-0.0011584459054754883,0.004953235110226753,-0.0011680510246247962,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,50000,bb_dr,0.10081111518041656,0.0,0.000405031428769721,0.10040608375164686,0.1,0.003619921346772527,0.0049436299910774455,-0.0013237086443049185,0.004953235110226753,-0.0013333137634542263,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,50000,bootstrap_dr,0.06673824404234138,0.0,0.0,0.06673824404234138,0.053846153846153856,0.00356945243931213,0.0049436299910774455,-0.001374177551765316,0.004953235110226753,-0.0013837826709146238,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
